n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,ccp_alpha,train_acc,val_acc,fit_seconds,completed_at,grid_index,grid_total
300,,,5,2,,0.0,0.9918180905531573,0.6303393213572854,224.872,2026-05-19T03:18:48.765826,953,1296
200,20.0,,2,1,,0.0001,0.974651139443831,0.6303393213572854,118.512,2026-05-18T21:23:20.183918,506,1296
300,20.0,,2,4,,0.0,0.9536191145467322,0.6303393213572854,161.37,2026-05-19T01:16:26.342349,837,1296
200,20.0,,5,2,,0.0,0.9774621021985744,0.629940119760479,114.561,2026-05-18T21:48:02.845707,521,1296
300,,,10,4,,0.0,0.9503061941572132,0.629940119760479,196.322,2026-05-19T04:04:28.446765,969,1296
200,20.0,,5,1,,0.0001,0.9707358698925811,0.629940119760479,118.452,2026-05-18T21:43:17.993915,518,1296
200,20.0,,5,2,,0.0001,0.9706354783656259,0.629940119760479,115.671,2026-05-18T21:49:58.592333,522,1296
300,,,10,4,,0.0001,0.9390623431382391,0.629940119760479,196.577,2026-05-19T04:07:45.132611,970,1296
300,20.0,,10,4,,0.0001,0.9353980524043771,0.629940119760479,162.146,2026-05-19T02:17:54.008800,862,1296
400,20.0,,10,1,,0.0001,0.953418331492822,0.629940119760479,227.047,2026-05-19T07:24:10.321589,1178,1296
400,20.0,,5,1,,0.0001,0.9718401766890874,0.629940119760479,229.345,2026-05-19T06:45:14.710864,1166,1296
200,20.0,,10,4,,0.0001,0.9346451159522137,0.629940119760479,109.851,2026-05-18T22:16:13.092285,538,1296
400,,,10,2,,0.0,0.9722417427969079,0.629940119760479,301.09,2026-05-19T09:56:45.840856,1289,1296
400,,,2,4,,0.0,0.9607971087240237,0.629940119760479,260.207,2026-05-19T08:39:30.086389,1269,1296
200,,,10,4,,0.0,0.9489007127798413,0.629940119760479,133.534,2026-05-18T23:28:24.029518,645,1296
400,,,5,4,,0.0,0.9607971087240237,0.629940119760479,261.898,2026-05-19T09:25:40.152702,1281,1296
100,,,10,1,,0.0001,0.9608975002509789,0.629940119760479,85.42,2026-05-18T20:15:22.228246,314,1296
300,,,10,1,,0.0,0.9876016464210421,0.629940119760479,241.325,2026-05-19T03:41:24.875670,961,1296
200,20.0,,5,4,,0.0,0.9528159823310912,0.6295409181636726,109.288,2026-05-18T21:54:37.573273,525,1296
400,,,10,2,,0.0001,0.9610982833048891,0.6295409181636726,297.637,2026-05-19T10:01:43.610176,1290,1296
200,20.0,,2,4,,0.0,0.9528159823310912,0.6295409181636726,110.481,2026-05-18T21:34:42.498165,513,1296
200,,,5,2,,0.0001,0.9807750225880936,0.6295409181636726,153.726,2026-05-18T22:59:59.255022,630,1296
100,20.0,,5,2,,0.0001,0.9703343037847606,0.6295409181636726,61.312,2026-05-18T19:21:33.636421,198,1296
200,,,5,1,,0.0,0.9980925609878526,0.6295409181636726,165.519,2026-05-18T22:49:19.676035,625,1296
400,,,5,2,,0.0001,0.9810260014054814,0.6295409181636726,298.875,2026-05-19T09:15:44.008487,1278,1296
400,,sqrt,10,2,,0.0,0.9615500451761871,0.6295409181636726,10.636,2026-05-19T07:59:54.696267,1217,1296
400,20.0,,5,2,,0.0,0.9776126894890071,0.6295409181636726,225.924,2026-05-19T06:54:35.032232,1169,1296
200,,,10,4,,0.0001,0.9383596024495533,0.6291417165668662,132.197,2026-05-18T23:30:36.301764,646,1296
200,,,2,4,,0.0,0.9597429976909949,0.6291417165668662,133.265,2026-05-18T22:41:33.559304,621,1296
200,,,5,4,,0.0,0.9597429976909949,0.6291417165668662,132.976,2026-05-18T23:05:01.345265,633,1296
400,,,2,2,,0.0,0.9949804236522437,0.6291417165668662,299.961,2026-05-19T08:24:37.936914,1265,1296
300,20.0,,10,4,,0.0,0.9441321152494729,0.6291417165668662,161.559,2026-05-19T02:15:11.754082,861,1296
300,20.0,sqrt,10,2,,0.0,0.9521132416424054,0.6291417165668662,7.173,2026-05-19T00:51:26.905271,785,1296
400,,,10,4,,0.0,0.9501054111033029,0.6291417165668662,259.735,2026-05-19T10:11:37.387137,1293,1296
400,,sqrt,10,1,,0.0001,0.9548238128701938,0.6291417165668662,11.314,2026-05-19T07:59:29.324000,1214,1296
200,,,2,1,,0.0,0.9997992169460898,0.6291417165668662,164.917,2026-05-18T22:25:45.118178,613,1296
200,,,2,4,,0.0001,0.9497038449954823,0.6287425149700598,133.121,2026-05-18T22:43:46.754556,622,1296
100,,sqrt,5,1,,0.0001,0.9795201285011546,0.6287425149700598,3.068,2026-05-18T19:37:31.936953,230,1296
300,,,2,4,,0.0,0.9604457383796807,0.6287425149700598,198.282,2026-05-19T02:55:14.645959,945,1296
200,,,5,4,,0.0001,0.9497038449954823,0.6287425149700598,133.738,2026-05-18T23:07:15.157034,634,1296
100,20.0,,5,2,,0.0,0.9765585784559783,0.6287425149700598,60.805,2026-05-18T19:20:32.113512,197,1296
200,,,5,2,,0.0,0.9914667202088143,0.6287425149700598,152.232,2026-05-18T22:57:25.442880,629,1296
200,20.0,,5,1,,0.0,0.9806746310611384,0.6287425149700598,117.847,2026-05-18T21:41:19.467902,517,1296
300,20.0,,2,1,,0.0001,0.9752032928420842,0.6287425149700598,175.223,2026-05-19T00:59:40.587057,830,1296
300,,,5,4,,0.0,0.9604457383796807,0.6287425149700598,196.294,2026-05-19T03:29:59.809434,957,1296
400,20.0,,2,1,,0.0,0.9872502760766991,0.6287425149700598,231.896,2026-05-19T06:02:28.668299,1153,1296
200,20.0,,10,4,,0.0,0.9432285915068768,0.6287425149700598,110.363,2026-05-18T22:14:23.166859,537,1296
200,20.0,,10,2,,0.0001,0.9523140246963157,0.6287425149700598,112.99,2026-05-18T22:09:42.913731,534,1296
300,20.0,,10,1,,0.0,0.9656159020178697,0.6287425149700598,170.778,2026-05-19T01:55:32.661317,853,1296
